customer_id,full_name,date_of_birth,gender,region,join_date,risk_segment,kyc_status
1001,Noah Jackson,2001-08-22,M,Mpumalanga,2016-09-05,Low,Verified
1002,Liam Rodriguez,1972-08-07,M,KwaZulu-Natal,2015-02-18,Low,Verified
1003,Emma Thomas,1972-01-06,F,Limpopo,2019-03-21,Low,Verified
1004,Alexander Thomas,2001-06-23,F,KwaZulu-Natal,2019-08-26,Low,Verified
1005,Michael Miller,1980-05-19,M,Gauteng,2016-03-22,Low,Verified
1006,Emma Thomas,1982-06-10,M,Northern Cape,2023-12-17,Medium,Verified
1007,Ava Gonzalez,1983-03-17,F,Gauteng,2015-04-18,Low,Verified
1008,Isabella Martin,1986-02-12,F,Western Cape,2022-04-26,Medium,Verified
1009,Ava Anderson,1977-07-30,F,Northern Cape,2015-11-02,Low,Pending
1010,Lucas Davis,1991-09-06,M,Eastern Cape,2017-01-19,Low,Verified
1011,Jacob Williams,2003-09-03,F,North West,2020-02-23,Low,Verified
1012,James Smith,1980-07-17,F,Mpumalanga,2023-08-04,Low,Verified
1013,Ava Smith,1997-09-27,M,North West,2019-03-25,Low,Verified
1014,Grace Smith,1995-07-15,M,Mpumalanga,2022-06-25,Low,Verified
1015,Michael Miller,1965-01-20,F,Western Cape,2020-08-18,Medium,Verified
1016,Isabella Smith,1952-08-10,M,Free State,2023-12-13,Medium,Verified
1017,Daniel Davis,1963-04-24,M,Gauteng,2024-02-21,Low,Pending
1018,Alexander Thomas,1972-06-10,M,North West,2018-03-27,Low,Verified
1019,Grace Davis,1969-11-03,F,Limpopo,2016-09-28,Low,Suspended
1020,Amelia Davis,2000-06-28,M,Free State,2016-09-23,Low,Pending
1021,Sophia Anderson,1961-12-20,F,North West,2020-11-18,Low,Verified
1022,Mia Smith,1960-02-12,F,Mpumalanga,2024-04-06,Medium,Verified
1023,Isabella Moore,1966-07-24,F,Northern Cape,2016-03-09,Low,Verified
1024,Emma Garcia,1986-11-19,M,Western Cape,2017-11-08,High,Pending
1025,Mia Williams,1954-06-30,F,KwaZulu-Natal,2015-03-18,Low,Verified
1026,James Taylor,1958-11-26,F,Free State,2020-03-17,Low,Verified
1027,Isabella Taylor,1998-12-16,F,Northern Cape,2019-06-13,Medium,Verified
1028,Mason Martinez,1973-11-03,F,Free State,2024-02-04,Low,Failed
1029,Mia Jackson,1959-08-06,M,North West,2022-02-09,Medium,Verified
1030,Charlotte Taylor,1968-05-01,F,Northern Cape,2022-11-26,Low,Verified
1031,Michael Jackson,1973-06-24,M,KwaZulu-Natal,2023-04-03,Medium,Verified
1032,Ethan Thomas,1955-12-29,M,Mpumalanga,2023-11-22,Low,Verified
1033,Sophia Gonzalez,2001-03-31,F,KwaZulu-Natal,2017-07-24,High,Verified
